Time Difference (s),Nodes,State,Backfilled
2335,1,COMPLETED,yes
2302,1,COMPLETED,yes
2309,1,COMPLETED,yes
2245,1,COMPLETED,yes
2182,1,COMPLETED,yes
2302,1,COMPLETED,yes
2257,1,COMPLETED,yes
1965,1,COMPLETED,yes
-7,1,TIMEOUT,yes
593,1,FAILED,yes
586,1,COMPLETED,yes
2266,1,COMPLETED,yes
2268,1,COMPLETED,yes
2361,1,COMPLETED,yes
2293,1,COMPLETED,yes
2322,1,COMPLETED,yes
2239,1,COMPLETED,yes
2315,1,COMPLETED,yes
2249,1,COMPLETED,yes
2353,1,COMPLETED,yes
2329,1,COMPLETED,yes
2356,1,COMPLETED,yes
2267,1,COMPLETED,yes
2159,1,COMPLETED,yes
2402,1,COMPLETED,yes
2217,1,COMPLETED,yes
2310,1,COMPLETED,yes
2329,1,COMPLETED,yes
2398,1,COMPLETED,yes
2313,1,COMPLETED,yes
2250,1,COMPLETED,yes
2218,1,COMPLETED,yes
2260,1,COMPLETED,yes
2217,1,COMPLETED,yes
2183,1,COMPLETED,yes
2239,1,COMPLETED,yes
2317,1,COMPLETED,yes
2191,1,COMPLETED,yes
2234,1,COMPLETED,yes
1871,1,COMPLETED,yes
2235,1,COMPLETED,yes
2357,1,COMPLETED,yes
2336,1,COMPLETED,yes
2256,1,COMPLETED,yes
2224,1,COMPLETED,yes
2145,1,COMPLETED,yes
2249,1,COMPLETED,yes
2280,1,COMPLETED,yes
2259,1,COMPLETED,yes
592,1,FAILED,yes
595,1,FAILED,yes
594,1,FAILED,yes
295,1,FAILED,yes
594,1,FAILED,yes
715,30,FAILED,yes
815,30,FAILED,yes
296,1,FAILED,yes
617,30,FAILED,yes
594,1,FAILED,yes
525,1,CANCELLED by 18675,yes
3258,1,CANCELLED by 18113,yes
-24,1,TIMEOUT,yes
594,1,FAILED,yes
21600,0,CANCELLED by 14226,no
3594,1,FAILED,yes
-21,448,TIMEOUT,yes
-7,1,TIMEOUT,yes
310,1,FAILED,yes
535,1,FAILED,yes
-23,2,TIMEOUT,yes
590,1,FAILED,yes
484,1,CANCELLED by 18675,yes
592,1,FAILED,yes
20406,320,COMPLETED,yes
439,1,FAILED,yes
575,1,FAILED,yes
36889,320,COMPLETED,yes
487,2,COMPLETED,yes
2974,1,COMPLETED,yes
3589,1,FAILED,yes
1538,16,CANCELLED by 16795,yes
3588,1,FAILED,yes
1706,16,CANCELLED by 16795,yes
925,9261,COMPLETED,no
1278,16,COMPLETED,yes
3195,1,COMPLETED,yes
349,5,FAILED,yes
3590,1,FAILED,yes
3420,1,COMPLETED,yes
7200,0,FAILED,no
7200,0,CANCELLED by 15010,no
5208,48,FAILED,yes
3585,2,FAILED,yes
3236,1,COMPLETED,yes
3585,2,FAILED,yes
3586,1,FAILED,yes
1534,16,CANCELLED by 16795,yes
-15,1,TIMEOUT,yes
73,5,FAILED,yes
3590,1,FAILED,yes
663,32,CANCELLED by 16795,yes
3584,2,FAILED,yes
3587,2,FAILED,yes
-8,1,TIMEOUT,yes
568,1,FAILED,yes
3585,2,FAILED,yes
-3,1,TIMEOUT,yes
568,1,FAILED,yes
3584,2,FAILED,yes
7200,0,CANCELLED by 16755,no
-20,1,TIMEOUT,yes
365,5,FAILED,yes
595,1,FAILED,yes
-2,5,TIMEOUT,yes
1219,32,CANCELLED by 16795,yes
793,30,FAILED,yes
2794,1,COMPLETED,yes
561,1,FAILED,yes
370,5,FAILED,yes
5412,4,FAILED,yes
-27,1,TIMEOUT,yes
43200,0,CANCELLED by 8445,no
3600,0,CANCELLED by 18306,no
643,32,CANCELLED by 16795,yes
3396,1,COMPLETED,yes
-8,105,TIMEOUT,yes
164,1,COMPLETED,yes
610,256,FAILED,yes
1781,1,COMPLETED,yes
3407,300,FAILED,yes
-21,3,TIMEOUT,yes
3592,2,FAILED,yes
1786,1,COMPLETED,yes
353,5,FAILED,yes
544,1,COMPLETED,yes
536,4,COMPLETED,yes
3362,1,COMPLETED,yes
3594,2,FAILED,yes
3585,2,FAILED,yes
